Run,Array Size,Sorting Algorithm,Execution Time (ns),,,Sorting Algorithm,Median,Standard Deviation
7,100,BubbleSortWhileNeeded,4053,,,,,
7,1000,QuickSortGPT,13324346,,,,,
7,1000,SelectionSortGPT,3411840,,,,,
7,1000,BubbleSortUntilNoChange,75542,,,,,
7,1000,BubbleSortWhileNeeded,23408,,,,,
7,5000,QuickSortGPT,18753475,,,,,
7,5000,SelectionSortGPT,11039580,,,,,
7,5000,BubbleSortUntilNoChange,125289,,,,,
7,5000,BubbleSortWhileNeeded,131315,,,,,
7,10000,QuickSortGPT,84343510,,,,,
7,10000,SelectionSortGPT,28970243,,,,,
7,10000,BubbleSortUntilNoChange,257172,,,,,
7,10000,BubbleSortWhileNeeded,214390,,,,,
7,20000,QuickSortGPT,325532124,,,,,
7,20000,SelectionSortGPT,113437186,,,,,
7,20000,BubbleSortUntilNoChange,519872,,,,,
7,20000,BubbleSortWhileNeeded,409997,,,,,
8,100,QuickSortGPT,329481,,,,,
8,100,SelectionSortGPT,124584,,,,,
8,100,BubbleSortUntilNoChange,5801,,,,,
8,100,BubbleSortWhileNeeded,4245,,,,,
8,1000,QuickSortGPT,12494054,,,,,
8,1000,SelectionSortGPT,3376036,,,,,
8,1000,BubbleSortUntilNoChange,80723,,,,,
8,1000,BubbleSortWhileNeeded,22910,,,,,
8,5000,QuickSortGPT,18812145,,,,,
8,5000,SelectionSortGPT,11178781,,,,,
8,5000,BubbleSortUntilNoChange,118614,,,,,
8,5000,BubbleSortWhileNeeded,127132,,,,,
8,10000,QuickSortGPT,85014151,,,,,
8,10000,SelectionSortGPT,26952510,,,,,
8,10000,BubbleSortUntilNoChange,253697,,,,,
8,10000,BubbleSortWhileNeeded,204221,,,,,
8,20000,QuickSortGPT,328015860,,,,,
8,20000,SelectionSortGPT,106065426,,,,,
8,20000,BubbleSortUntilNoChange,520413,,,,,
8,20000,BubbleSortWhileNeeded,444303,,,,,
9,100,QuickSortGPT,308477,,,,,
9,100,SelectionSortGPT,126977,,,,,
9,100,BubbleSortUntilNoChange,5690,,,,,
9,100,BubbleSortWhileNeeded,4297,,,,,
9,1000,QuickSortGPT,12801196,,,,,
9,1000,SelectionSortGPT,3316533,,,,,
9,1000,BubbleSortUntilNoChange,80379,,,,,
9,1000,BubbleSortWhileNeeded,23524,,,,,
9,5000,QuickSortGPT,18889549,,,,,
9,5000,SelectionSortGPT,10633106,,,,,
9,5000,BubbleSortUntilNoChange,116509,,,,,
9,5000,BubbleSortWhileNeeded,129584,,,,,
9,10000,QuickSortGPT,89826341,,,,,
9,10000,SelectionSortGPT,27648060,,,,,
9,10000,BubbleSortUntilNoChange,256428,,,,,
9,10000,BubbleSortWhileNeeded,218469,,,,,
9,20000,QuickSortGPT,318355986,,,,,
9,20000,SelectionSortGPT,112874386,,,,,
9,20000,BubbleSortUntilNoChange,502916,,,,,
9,20000,BubbleSortWhileNeeded,421749,,,,,
10,100,QuickSortGPT,312480,,,,,
10,100,SelectionSortGPT,126807,,,,,
10,100,BubbleSortUntilNoChange,5598,,,,,
10,100,BubbleSortWhileNeeded,4271,,,,,
10,1000,QuickSortGPT,12550449,,,,,
10,1000,SelectionSortGPT,3402123,,,,,
10,1000,BubbleSortUntilNoChange,82074,,,,,
10,1000,BubbleSortWhileNeeded,22805,,,,,
10,5000,QuickSortGPT,18946676,,,,,
10,5000,SelectionSortGPT,11012648,,,,,
10,5000,BubbleSortUntilNoChange,121749,,,,,
10,5000,BubbleSortWhileNeeded,121941,,,,,
10,10000,QuickSortGPT,88412599,,,,,
10,10000,SelectionSortGPT,27243921,,,,,
10,10000,BubbleSortUntilNoChange,253881,,,,,
10,10000,BubbleSortWhileNeeded,217183,,,,,
10,20000,QuickSortGPT,326980002,,,,,
10,20000,SelectionSortGPT,108951600,,,,,
10,20000,BubbleSortUntilNoChange,491662,,,,,
10,20000,BubbleSortWhileNeeded,426329,,,,,
11,100,QuickSortGPT,312125,,,,,
11,100,SelectionSortGPT,124416,,,,,
11,100,BubbleSortUntilNoChange,5798,,,,,
11,100,BubbleSortWhileNeeded,4033,,,,,
11,1000,QuickSortGPT,13262967,,,,,
11,1000,SelectionSortGPT,3346154,,,,,
11,1000,BubbleSortUntilNoChange,80047,,,,,
11,1000,BubbleSortWhileNeeded,21595,,,,,
11,5000,QuickSortGPT,18802330,,,,,
11,5000,SelectionSortGPT,10866720,,,,,
11,5000,BubbleSortUntilNoChange,122815,,,,,
11,5000,BubbleSortWhileNeeded,131355,,,,,
11,10000,QuickSortGPT,83866559,,,,,
11,10000,SelectionSortGPT,28882671,,,,,
11,10000,BubbleSortUntilNoChange,262676,,,,,
11,10000,BubbleSortWhileNeeded,213748,,,,,
11,20000,QuickSortGPT,313461237,,,,,
11,20000,SelectionSortGPT,109895836,,,,,
